source_document,source_page,book_page,event_date_raw,year,event_type,ruler_actor,title,text_asli,notes,era_slug,fort_name,dominion_status,tags
CD3,269,256-259,27 Februari 1681,1681,perjanjian,"Sulthan Achmet-chia (Bajang), Sulthan Mamet-chia (Indrapoura), Sulthan Besaar (Troesang) -> komisaris Laurens Pit",Batas presisi tambang emas Sillida & Pulau Cingkuak dikonfirmasi ulang,"Nader acte van opdragt... waarby de opdragt en overgifte van 't eyland Chinko en het gehele land van Sillida, streckende Zuydwaarts over de Sillidase rivier tot aan het gebergte van Pynang, en Noordwaars tot aan de rivier Lompo... in den jaare 1667, in de maand July aan de heer oud-commandeur Jacob Jorisse Pits... werd geconfirmeert, bevestigt ende vernieuwt.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXLVI 'Sumatra's Westkust'. MELENGKAPI event Sillida 1667 (CD2) dgn batas wilayah presisi -- sengketa batas baru muncul setelah ditemukan urat emas baru, traktat ini menegaskan ulang cakupan penuh termasuk Pulau Cingkuak.",pengusiran-penataan,Salido,,
CD3,271,260-261,10 Maret 1681,1681,perjanjian,sulthan Sampourna alias radja Carbouw (Painan) -> komisaris Laurens Pit,Painan diserahkan ke VOC untuk akses jalur tambang,"Acte van opdragt en overgivte van de negorye, 't gebergte ende het gehele land, by de Nederlanders Pynang en de Maleyers Pynen genaemt... werd opgedragen, overgegeven en getransporteert. Wy, sulthan Sampurna alias radja Carbouw, vryheer ende wettig ervbesitter van de negorye, 't gebergte ende het gehele lande.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXLVII 'Sumatra's Westkust'. Painan (asal nama Traktat Painan 1663) diserahkan penuh ke VOC oleh vryheer-nya sendiri, radja Carbouw -- akses jalur darat dari tambang emas Sillida ke pantai. Melengkapi rangkaian penguasaan westkust pasca-1663.",pengusiran-penataan,Painan,voc_alliance,
CD3,301,290-291,17 Maret 1682,1682,perjanjian,"regenten Priaman, Oulaccan & sekitarnya -> Sulthan Indrapoura & Panglima Radja Padang","Priaman kembali tunduk usai gejolak baru, radja Ebrahim dinyatakan musuh","beloven ende sweren voortaen niet sullen vermogen eenige vaartuygen naar Aetchin te laten afvaren, nu nog nimmermeer niet... Radja Ebraim met alle syne medestanders, hulpers, aanhang ende dienaren... buyten 't destrict van Priaman te houden.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDLIX 'Sumatra's Westkust'. Priaman goyah lagi akhir 1681, ditekan Sultan Indrapoura & Panglima Padang (bukan VOC langsung) utk tunduk lagi -- radja Ebrahim (anak mantan panglima Priaman) resmi dinyatakan musuh bersama.",pengusiran-penataan,Pariaman,voc_alliance,
CD3,309,298,5 Juli 1682,1682,administratif,10 utusan Kotta-tengah -> komandan Joan van Leene,"Kotta-tengah minta ampun, diterima kembali","De thien geslagten van Cotatenga komen haar voor d'E. Comp[agnie] te verootmoedigen, ende versoeken om pardon ende vergiffenisse, ende dat in genade aangenome ende in hare land te wonen vergund moge werden.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDLXIII 'Sumatra's Westkust'. Kotta-tengah (diusir 1680) kirim 10 utusan minta ampun, diterima kembali -- siklus pemberontakan-pengampunan berulang khas westkust pasca-1663.",pengusiran-penataan,,,
CD3,365,351-355,19-20 Juni 1684,1684,konflik,regenten Priaman -> commandeur Jan van Leene,"Priaman diserang ulang, ditundukkan lagi di tengah persaingan Inggris","Contract en eeuwig-durend accoord... dat niemand uyt Priaman ofte d'onderhorige plaatsen voortaen eenige correspondentie sal mogen houden met die van Aetchin, nog eenigen handel met deselve doen, nog derwaars varen... maar buyten houden ende verdryven.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDLXXIV 'Sumatra's Westkust'. Priaman berunding lagi dgn Aceh & mantan radja Ibrahim krn loge VOC di sana sempat ditutup -- konteks BARU: Inggris (diusir dari Bantam) berniat mendirikan pos di/dekat Priaman, mempercepat tindakan VOC.",pengusiran-penataan,Pariaman,voc_alliance,
CD3,366,356-359,20-21 Juni 1684,1684,konflik,regenten Tycou (Tiku) -> commandeur Jan van Leene,Tiku ditundukkan usai pemberontakan terbuka dipicu faksi Aceh,"dat het landschap Ticou, door de wapenen van d'E. Comp[agnie] ende hare bondgenoten overwonnen, ende de regenten met alle inwoonderen van dien op hare verdemoeding en beede van pardon van haare vorige wederspannigheyd in genade van d'E. Comp[agnie] aangenomen ende versoent sijn.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDLXXV 'Sumatra's Westkust'. Tiku (1683) berontak terbuka dipicu faksi pro-Aceh -- ekspedisi militer dari Padang menundukkan, sama pola dgn Priaman hari sebelumnya (19-20 Jun 1684).",pengusiran-penataan,Tiku,voc_alliance,
CD3,399,388-390,30 November - 2 Desember 1685,1685,perjanjian,radjas & pounglous Sapoeloe Boeah Bandar (Sepuluh Pelabuhan) -> oppercoopman Joan van Meghelen,Sepuluh Pelabuhan (selatan Painan) resmi gabung aliansi umum 1680,"Contract en eeuwigdurend verbond tusschen de Comp[agnie] ende de regenten van de Sapoeloe Boabandaars... God segene en bewaere... die ons... vrygemaeckt ende verlost hebben van 't gewelt en dwingelandye der Atchinders... indien wy s' vinden, selvs te keer gaan na ons vermogen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDLXXXIII 'Sumatra's Westkust'. Sapoeloeh Boeah Bandar ('Sepuluh Pelabuhan', selatan Painan di teluk Batang Kapas) -- sudah termasuk aliansi umum 1680 tapi sempat berontak awal 1685, sekarang gabung ulang. Memperluas jangkauan westkust confederation ke selatan.",pengusiran-penataan,Painan,voc_alliance,
CD3,436,423-426,23 Januari 1687,1687,diplomasi,Jang de Pertuan (pangeran Minangkabau) -> Cornelis de Bries & pejabat VOC,Pangeran Minangkabau batalkan konsesi tanah Inggris di Painan,"revoceren, annulleren, doden, ende doen sy, vorsten, te niet alle contracten, verkopinge ofte overdracht van landschappen, steden, dorpen, rivieren ofte bhayen... specialijk de jongst gemaakte contracten ofte overgivten van eenige plaatsen aan dese strandlanden aan die van de Engelse natie.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, traktat CDXCVII 'Sumatra's Westkust'. Pangeran Minangkabau (raja tituler pantai barat) batalkan SEMUA konsesi tanah yg diberikan ke Inggris (yg baru diusir dari Bantam & mencari pijakan baru di westkust) -- eksplisit demi kepentingan VOC.",pengusiran-penataan,Painan,,
CD3,490,479-480,23 Januari 1689,1689,administratif,radja Ibrahim (Priaman) -> commandeur Salomon Le Sage,Radja Ibrahim (mantan pemberontak Priaman) diampuni ulang,"Ick, ondergeschrevene, beloven en sweeren, dat nadien op mijn ootmoedige beede d'E. Comp[agnie] mijn vorige misslagen vergeven en my in hare genade aangenomen heeft, deselve na desen houw en getrouw te zullen zijn... oock myne vrienden, die met de Engelse mogten hebben gecorrespondeert, van deselve te diverteeren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, dokumen 'DXIII Sumatra's Westkust'. Radja Ibrahim -- pemberontak Priaman yg berulang kali muncul sejak 1671 -- akhirnya berdamai personal dgn VOC, termasuk janji putus hubungan dgn pihak Inggris.",pengusiran-penataan,Pariaman,voc_alliance,
CD3,547,536-538,18 Oktober 1690,1690,suksesi,"Mage Radia (radja d'Ilhier baru, Baros) -> commandeur Salomon Le Sage","Penerus baru radja d'Ilhier Barus angkat sumpah, tegaskan ulang traktat 1681","Acte en Eet van getrouheyt, ge- en beswooren door den nieuw vercoren radia d'Ilhier, Mage Radia, broederssoon van den jongst in November anno passado overleeden radia d'Ilhier... aan de E. Comp[agnie]... idem tot voorkoming van alle onlusten, twist, tweespalt... naedeelen der algemeene vyanden, wien hij mogte sijn (off die van Aatchin).","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid III, dokumen 'DXXXII Sumatra's Westkust'. Radja d'Ilhier (Barus, penandatangan traktat 1 Jan 1681) wafat Nov 1689 -- keponakannya Mage Radia naik, tegaskan ulang traktat 1681 termasuk permusuhan eksplisit dgn Atjeh. Peristiwa TERBARU di seluruh korpus linimasa kami (1690) -- mundurkan/majukan titik akhir linimasa dari 1681 ke 1690.",pengusiran-penataan,Barus,voc_alliance,
CD4,24,14-17,22 Januari 1693,1693,perjanjian,regenten Ayerbangy (atas nama Indermaradja yg ditawan) -> vaandrig Joannes Sas,"Air Bangis diserang lorrendraeyer Aceh, VOC rebut & ikat aliansi","Te Air-Bangis werd de wettige vorst, Indermaradja, door een usurpateur in de bovenlanden gevangen gehouden, en door de hieruit ontstane verwarring konden Atjehsche 'lorrendraeyers' zich met hun vaartuigen weer ongestraft op de plaats vertoonen... Dat de regenten (ponglous) en d'gemeente van 't landschap Ayerbangy... verklaren derhalven alle Atchinders en andere Comp[agnie]s vyanden mede voor haer vyanden te houden... D'negotie deser plaets... sal de E. Comp[agnie]... alleenig genieten, sonder subject te sijn eenige thollen off geregtigheden te geven.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DXLV 'Sumatra's Westkust'. Ekspedisi vaandrig Johannes Sas (berangkat 8 Jan 1693) rebut dua kapal Aceh di Air Bangis, lalu ikat traktat aliansi atas nama radja Indermaradja yg masih ditawan perampas di pedalaman -- VOC dapat monopoli dagang (kapur barus, peper, budak) BEBAS TOL, wilayah pelayaran dibatasi Padang (selatan) - Cinkel/Singkil (utara), dilarang berlayar ke Bakongan/Susoh/Meulaboh/Aceh. Pembuka rangkaian 9 traktat ekspedisi Sas (Jan-Mei 1693) yg meluas sampai Nias.",pengusiran-penataan,Air Bangis,voc_alliance,
CD4,28,18-21,29 Januari 1693,1693,perjanjian,regenten Batahan (bawahan Radja d'Ilir Baros) -> vaandrig Joannes Sas,"Batahan tunduk, wajib kelola ulang pohon kemenyan demi kualitas","De regenten van deze plaats, die onder opperhoogheid van Baros heetten te staan, stelden zich bij onderstaand contract onder gehoorzaamheid van den koning van Menangkabau en de Compagnie... Dat de regenten (ponglous) en gemeente van 't landschap Battahan... haer onder de bescherminge van d'E. Comp[agnie] en gehoorsaemheyt van den Maningkabouse coning, mitsgaders Radja d'Illir tot Baros, hunne wettige landheer, begeven... alsmede dat onse bensuynboomen om 3 a 4 jaren sullen moeten omkappen... om soo doende witte en geene bruyne benjuyn gevonden te werden.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DXLVI 'Sumatra's Westkust'. Sehari setelah Air Bangis, Sas ikat traktat nyaris sama dgn Batahan (bawahan Radja d'Ilir Baros) -- tambahan klausul unik: kewajiban tebang-ulang pohon kemenyan (bensuyn) tiap 3-4 tahun demi kualitas putih, bukan cokelat -- bukti VOC ikut atur praktik produksi komoditas, bukan cuma tol.",pengusiran-penataan,Barus,voc_alliance,
CD4,35,25-30,23 Maret 1693,1693,konflik,Radja Sillibo & regenten Rarago-Bodo (Nias) -> vaandrig Joannes Sas,"Ekspedisi Sas serbu benteng Aceh di Nias (Gido), tundukkan Sillibo","Men had op dit eiland zeer veel te lijden van de Atjehsche roovers onder den beruchten Simon Touala. Na besprekingen met de verschillende radja's en regenten besloot Sas tot een krachtig optreden. Den 15den Maart viel hij een zeer versterkten pagger der Atjehers te Gido aan en maakte er zich van meester... De bevolking was hiermede ten zeerste ingenomen, en de hoofden drongen er op aan, dat de Compagnie geregeld eenige malen per jaar schepen naar Nias zou zenden, om hen ook in de toekomst tegen de Atjehers te beschermen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DIL 'Sumatra's Westkust-Nias'. Ekspedisi Sas MELUAS ke Nias -- 15 Maret 1693 serang & rebut kubu Aceh berbenteng (pagger der Atjehers) di Gido, hancurkan basis bajak laut Aceh terkenal Simon Touala. Traktat dgn radja Sillibo & regenten Rarago-Bodo (7 pelabuhan, 65 dorpen) -- penduduk minta kunjungan kapal VOC rutin utk perlindungan berkelanjutan. Titik terjauh utara jangkauan anti-Aceh VOC sejauh ini dlm korpus kami.",pengusiran-penataan,,,
CD4,40,30-33,31 Maret 1693,1693,administratif,radja Goenong & radja Mainiatai (Sorkam) vs radja Gadon & Mantoga (Kolang) -> VOC Baros,VOC tengahi damai internal Kolang-Sorkam,"Dat Radja Goenong en zijn broeder, Radja Mainiatay, wederom... by de radjas Gadon en Mantoga in Coelang zullen gaen woonen en trecken in alle hun goederen en eerampten... Sullen de Radjas Goenong en Mainiatai niet alleen Surcam verlaten... maer ook hun volck off vrunden van daer op Coelangs grond overgebragt... sonder die evenwel, ook voortaen meer voor hun vyanden te kennen, houden off mogen achten.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DL 'Sumatra's Westkust'. Selagi Sas beroperasi di Nias, VOC & radja d'Ilir Baros menengahi damai internal antara dua kepala bertikai, Kolang & Sorkam (radja Goenong/Mainiatai vs radja Gadon/Mantoga) -- BUKAN konflik Aceh, tapi bagian konsolidasi jaringan aliansi westkust yg sama; denda 200 kerbau bagi pemicu sengketa baru.",pengusiran-penataan,,,
CD4,44,34-38,3 April 1693,1693,perjanjian,"orangkaya Senolassa (Nay & Lambara, Nias) -> vaandrig Joannes Sas",Nay & Lambara (Nias) ikat aliansi anti-Aceh,"Het volgende contract sloot Sas af met de Zuidelijker aan de Oostkust van Nias gelegen negorijen... den orangkaya Senolassa, als hoofd der twee zeehavens, met namen Nay en Lambara, mitsgaders de daeronder gehoorende 36 negaryen... Verklaren zy, heeren en grooten, alle Aetchinders en andere 's E. Comp[agnie]es vyanden, ook mede voor hunne vyanden van nu voortaen te sullen houden... omme door dit middel d' quaadwillende niet alleen van 't eyland... te verjagen en, is mogelijk, te verdistrueren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLI 'Sumatra's Westkust-Nias'. Traktat kedua di Nias, dgn orangkaya Senolassa (36 dorpen pesisir Nay-Lambara) -- boilerplate nyaris identik dgn Sillibo (artikel 1-7), bagian dari rangkaian penaklukan-diplomasi Sas menyusuri pesisir Nias.",pengusiran-penataan,,,
CD4,48,38-41,15 April 1693,1693,perjanjian,regenten Malakerre & Telok Dalam (Nias) -> vaandrig Joannes Sas,Malakerre & Telok Dalam (Nias) ikat aliansi anti-Aceh,"Verder Zuidwaarts langs de kust trekkende, sloot Sas 15 April een soortgelijk contract met de regenten van Malakerre en Telok Dalam... schoon nog noyt vassalen of subjecten van coningen, vorsten off potentaten sijn geweest, veel min eenige tribuyt ofte homagie aen iemand ter wereld gedaen hebben... Maer Noordwaerts boven Chinkel, naer Sousouw, Nalabou ofte Aetchin hunne coers stellende... soo zullen ze zonder aensien van persoonen verbeurd gemaekt ende de eygenaers tot schrik van anderen naer behooren gestraft werden.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLII 'Sumatra's Westkust-Nias'. Traktat ketiga di Nias (Malakerre & Telok Dalam, 19 dorpen) -- Sas terus menyusuri pesisir menuntaskan jaringan aliansi anti-Aceh menyeluruh di pulau tsb.",pengusiran-penataan,,,
CD4,51,41-44,26 April 1693,1693,perjanjian,orangkaya Silatoere dkk (Hinako-Maros) -> vaandrig Joannes Sas,"Hinako-Maros perbarui traktat 1669 yg hilang, sumpah ulang lepas Aceh","Van de Zuidpunt van Nias ging Sas... hernieuwde den 26en April het oude contract met die van Hinako en Maoes... (Dit contract komt niet voor in Corpus III)... Nademael geciteerde regenten, soo met 't gedoogen der Aetchinders sluykvaerd, als het verliesen van 't beschreven contract en verbond, in den jare 1669 met de E. Comp[agnie]... sig grootelijx vergrepen... Ten welken eynde sy, regenten, generaeliter en ider in 't bysonder op 't nieuws de croon Aetchin komen af te sweeren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLIII 'Sumatra's Westkust-Nias'. TEMUAN PENTING: traktat asal 24 Agustus 1669 (orangkaya Lary) TIDAK PERNAH masuk Corpus II/III -- editor CD4 catat eksplisit 'Dit contract komt niet voor in Corpus III'. Kepulauan Hinako/Maros sempat lalai & biarkan penyelundup Aceh lewat, sekarang diampuni & sumpah ulang lepas mahkota Aceh. Mengisi celah kronik yg sebelumnya tak tersitasi di korpus manapun.",pengusiran-penataan,,,
CD4,55,45-49,2 Mei 1693,1693,perjanjian,regenten Lahomi & Laoesa (Nias) -> vaandrig Joannes Sas,Lahomi & Laoesa (Nias) ikat aliansi anti-Aceh,"Van de Hinako-eilanden stak Sas over naar de kust van Nias en sloot daar ondervolgend contract met de hoofden van Lahomi en Lahoesa... Ten tweeden verklaren sy, heeren en grooten, alle Aetchinders en andere 's E. Comp[agnie]es vyanden ook mede voor hunne vyanden van nu voortaen te sullen houden... omme door dese middelen de quaadwillende niet alleen van 't eyland... maer ook omtrent 't selve, en principael de hier tegenovergelegene Maros-Inakosche eylanden by eenig overval en arrivé te verjagen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLIV 'Sumatra's Westkust-Nias'. Traktat kelima di Nias (Lahomi & Laoesa, 30 dorpen) -- eksplisit sebut kewajiban saling bantu membela kepulauan Maros-Inako yg berhadapan jika diserbu Aceh, menunjukkan jaringan pertahanan kolektif mulai terbentuk.",pengusiran-penataan,,,
CD4,59,49-50,3 Mei 1693,1693,perjanjian,"orangkaya Samboede dkk (Gunung Jarroe, Nias) -> vaandrig Joannes Sas",Gunung Jarroe (Nias) ikat aliansi anti-Aceh,"Op dezelfde plaats sloot Sas een dag later nog een overeenkomst met de regenten van Goenoeng Jarroe... als waere bondgenooten sijn aangenomen en veraccordeerd by den vaendrager Joannes Sas... schoon nog noyt vassalen off subjecten van coningen, vorsten off potentaten sijn geweest, veel min eenige tribuyt ofte homagie aen yemand ter wereld gedaen hebben.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLV 'Sumatra's Westkust-Nias'. Traktat keenam di Nias, sama hari dgn Gomboe (3 Mei) -- editor catat sisa artikel dihilangkan di semua salinan krn identik dgn traktat sebelumnya.",pengusiran-penataan,,,
CD4,61,51-54,3 Mei 1693,1693,perjanjian,regenten Gomboe (Nias) -> vaandrig Joannes Sas,"Gomboe (Nias) ikat aliansi anti-Aceh, tutup rangkaian ekspedisi Sas","Op denzelfden 3den Mei en terzelfder plaatse sloot Sas ten slotte nog een vrijwel gelijkluidende overeenkomst met de hoofden van Gomboe... dewijl den handel en negotie deses eylands meest bestaet in slaven en levensmiddelen, soo sal de E. Comp[agnie]... sonder aan eenige thollen ofte geregtigheden, veel min ankeragie, gehouden off verpligt te wesen.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLVI 'Sumatra's Westkust-Nias'. Traktat ketujuh & penutup rangkaian ekspedisi Sas di Nias (Gomboe) -- total 9 traktat aliansi anti-Aceh ditandatangani Sas dlm ~4 bulan (22 Jan - 3 Mei 1693), memperluas kendali VOC dari Air Bangis sampai seluruh pesisir Nias.",pengusiran-penataan,,,
CD4,81,71-82,12 Maret - 5 April 1694,1694,konflik,Radja d'Ilheer (Baros) & 4 poungel -> commandeur Abraham Bouden,Baros direstrukturisasi total pasca-pembunuhan pegawai VOC,"In 1693 braken op Baros weer eens oneenigheden tusschen de radja's d'Hoeloe en d'Ilir uit... werden een Nederlandsch chirurgijn, benevens een Mardijker soldaat overrompeld en gedood, en een sergeant gekwetst... d'Hoeloe werd voor goed van zijn rechten vervallen verklaard, en d'Ilir als radja-Baros eenig vorst... soo is in 't jaer 1681 haer vergund en toegelegt... van 't geene d'E. Comp[agnie] tot Baros... inkoopen, als een vrywillige gift t'ontfangen: Eerst van yder bhaer bruyne bensuyn... rijxdaelders twee... Alle vaertuygen... die zout inhebben, sullen van yder vijff cojangh één dito aan de Baroeëse regeeringe moeten verkopen... radja 40 per cento, en de pounglous 15 per cento.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLXII 'Sumatra's Westkust' + Nadere byvoeginge (5 Apr 1694). Perang saudara Baros (radja d'Hoeloe vs d'Ilir) berujung pembunuhan cirurgien & tentara VOC -- pemerintahan direstrukturisasi total jadi 1 raja (d'Ilir/radja-Baros) + 4 poungel. Kaya data TOL/HADIAH: skema hadiah sukarela tahunan (rijksdaalder per bahar kemenyan/kapur barus sejak 1681), toll garam wajib jual ke pemerintah Baros, 'handbloem' (bunga-tangan, eufemisme hadiah) pengganti tol utk kapal dari Padang, bandhaar (gudang pabean) periksa kualitas kemenyan/kapur barus.",pengusiran-penataan,Barus,internal_conflict,
CD4,93,83-86,5 April 1694,1694,perjanjian,Battassers Deiryse gebergte (Dairi) -> commandeur Abraham Bouden,Batak Dairi berjanji jual kemenyan/kapur barus eksklusif ke Baros,"Met de Batak's uit de streken ten Westen van het Tobameer sloot commandeur Bouden... de volgende overeenkomst... dat alle bensuyn, camphur, ook eetbare ware... tot Baros, en op geen andere plaatsen, sullen ter marckt brengen... gevende weder de plaetsen, by d'E. Comp[agnie] door de wapenen overwonnen... tot een eeuwig en vreedige besittinge.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DLXIII 'Sumatra's Westkust'. Sejalan restrukturisasi Baros, VOC ikat traktat terpisah dgn suku Batak Dairi (barat danau Toba) -- wajib jual kemenyan/kapur barus HANYA ke Baros, imbalannya VOC kembalikan desa yg direbut senjata (Tambonpady dkk). Ritual sumpah unik: makan daging kerbau mentah dicampur garam-lada-kapur barus-kunyit.",pengusiran-penataan,Barus,voc_alliance,
CD4,146,136-137,19 Juni 1698,1698,perjanjian,"Panglima-radja & 12 pounglous Padang, Panglima & 8 regenten Sillida -> gesaghebber Cornelis Beerning",Padang & Sillida lepas hak pungut salimoet demi harga peper naik,"de wettelycke regenten van Padangh en Sillida, 't welck de bandaars sijn, daar de hier ter custe vallende peper volgens contract moet worden ter schaele gebragt... eens voor al afstant te doen van de geregtigheyt ofte soo genoemde salimoet, die de voorschr. panglimas met hare pounglous nu soo een byna oneyndig getal van jaren van d'E. Comp[agnie] soo mildelijck hebben genoten... voor de bhaar peper by d'E. Comp[agnie]... niet meerder sal behoeven betaelt te werden als 14 rds eens.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DXCVIII 'Sumatra's Westkust'. TEMUAN TOL PENTING: panglima Padang & Sillida (bandhar resmi tempat semua peper westkust wajib ditimbang) lepas hak pungut kuno mereka sendiri ('salimoet', semacam bea/upeti kain yg dinikmati turun-temurun) -- sbg gantinya VOC TURUNKAN harga beli peper dari 16 ke 14 rijksdaalder/bahar. Contoh langka penguasa lokal melepas hak fiskal demi harga komoditas, bukan dipaksa VOC.",pengusiran-penataan,Padang,voc_alliance,
CD4,152,142-144,1 Oktober 1698,1698,administratif,radja Minuassa (cucu radja d'Hoeloe) -> opperkoopman Cornelis Beerning,Radja Minuassa diangkat jadi penengah resmi Batak Dairi,besloten de gemelte raad... over de persoon en bequaemheden van Radja Minuassa... om gemelte radja Minuassa provisionelijck te nomineren en aen te stellen als een voorspreker van de voorsch. Dyrise Battassers of bergvolckeren... opdat syne ingesetenen naar verloop van weynig tijds door dese continuele dierte van levensmiddelen niet geheel en al mogten werden geruïneerd.,"SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, dokumen 'DC Sumatra's Westkust'. Batak Dairi (pemasok pady utama Baros) enggan tanam lebih dari kebutuhan sendiri, ancam kelaparan Baros -- VOC angkat radja Minuassa (cucu radja d'Hoeloe yg digulingkan 1694, tapi berpengaruh di kalangan Batak) sbg 'bara-antara' (juru bicara) resmi utk mediasi. MELENGKAPI kisah Minuassa dari peristiwa Baros 1694 (item sebelumnya).",pengusiran-penataan,,,
CD4,248,238-241,13 Agustus 1705,1705,perjanjian,panglima Mara Laout & 11 pounglous Padang -> gezaghebber Abraham Schepmoes,"Panglima baru Padang, Mara Laout, perbarui sumpah aliansi 1680","Wy, Mara Laout, verkoren panglima en de 11 ponglous van Padang, certificeren ende verklaren by desen... hoe dat wy ons heyliglijk en getrouwelijk voor altoos ende eeuwiglijk vast ende onveranderlijk verbinden, beloven ende met eede bevestigen... te zullen zijn ende blyven Comp[agnie]s opregte vrunden, ware en getrouwe bondgenoten.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DCXXXII 'Sumatra's Westkust'. Kekacauan 1704 (wafat Sultan Minangkabau Achmet-chia, sengketa suksesi, wafat panglima Padang lama, sengketa lahan Paoeh-Padang) -- panglima baru Padang, Mara Laout, angkat sumpah ulang mengacu traktat aliansi umum 1680 (CD3) & penyerahan strandlanden 1667 ke raja Minangkabau. MELENGKAPI traktat 1680 dgn generasi kepemimpinan baru.",pengusiran-penataan,Padang,voc_alliance,
CD4,274,264-265,17 Mei 1707,1707,diplomasi,Radja-Baros (d'Ilir) & Radja Minuassa -> gezaghebber Abraham Schepmoes,Radja-Baros & Radja Minuassa berdamai usai rivalitas diam-diam,"Zekere radja Minuassa, schoonzoon van den afgezetten radja d'Hoeloe en zwager van radja-Baros... werkte dezen in 't geheim tegen... Verbintenis tusschen Radja-Baros ter eenre en Radja Minuassa ter andere zyde... beloven wy beyde ende ider in 't bysonder, de Generale Nederlandsche Comp[agnie] gehouw entje getrouw te wesen... beloven en sweren wy te samen... alle questiën ofte oneenigheden, die tusschen onser beyden vóór desen mogte geweest... malkanderen te vergeven en vergeten.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DCXLI 'Sumatra's Westkust'. Radja Minuassa -- setelah jadi voorspreker Dairi (1698) -- ternyata diam-diam menggerogoti reputasi radja-Baros (iparnya sendiri); VOC turun tangan damaikan kedua pihak scr resmi. MELENGKAPI benang kisah Minuassa dari 1694 & 1698.",pengusiran-penataan,Barus,voc_alliance,
CD4,276,266-268,8 Juni 1707,1707,perjanjian,pounglous Chincol (Singkil) -> gezaghebber Abraham Schepmoes & radja-Baros,"Chincol (Singkil) perbarui traktat 1672/1680, monopoli kapur barus","Korte verbintenisse, gemaakt tusschen d'E. Compagnie [en] de regeeringe van Baros ter eenere zyde, en de gesamentlycke ponglous van Chincol ter andere zyde... Eerstelijk beloven en sweren wy, regenten van Chincol... te sullen nakomen en heyliglijk onderhouden sodanige articulen, als wy in den jare 1672... en nader met den E. Agtbaren heer Joan van Leene in den jare 1680... veraccordeert, besloten en b'eedigt... geene de minste handelaars... gedogen, dat eenen van onse onderdanen sal vermogen camphur te verhandelen, maar alle 't geene... aan d'E. Comp[agnie] te presenteren.","SUMBER: Corpus Diplomaticum Neerlando-Indicum, Jilid IV, traktat DCXLII 'Sumatra's Westkust'. Chincol/Singkil (yg 1681 diusir radjanya yg pro-Aceh, lihat CD3) sekarang tunjukkan ketergantungan baru pada Baros -- perbarui traktat 1672 & 1680 dgn tegaskan ulang monopoli kapur barus VOC. MELENGKAPI rangkaian Singkil dari CD3.",pengusiran-penataan,Barus,voc_alliance,
